mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.512127113342285,0.2286550460351566,1.4941216945648192,0.1693907114355889,10.0,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6078503436362969,0.6067878646319942,0.6129807692307692,0.611631510202562,0.5945744069919234,0.6067649789387091,0.00651318294182515,24,0.7299738334081438,0.7312068735321435,0.7275578883655911,0.7302542768047422,0.7326210883301068,0.7303227920881454,0.0016634256649960882
4.592470455169678,0.2774751990443478,1.2243917465209961,0.04019857574434566,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.595911114980646,0.5921249543618076,0.5933060708222148,0.6025974404963386,0.589594553242049,0.5947068267806113,0.004437918837802536,28,0.7974457588452717,0.8025389916010413,0.8013658434837314,0.8003755689200431,0.8023869773654149,0.8008226280431006,0.0018596388422995522
3.9337791919708254,0.102090896925959,1.2892984867095947,0.07039111150746862,10.0,0.05,rbf,"{'C': 10, 'gamma': 0.05, 'kernel': 'rbf'}",0.6066537385589768,0.6080004225137705,0.6187978684269029,0.6171795736828121,0.5966908572443462,0.6094644920853617,0.00799804951392909,22,0.7140479441955694,0.7149548781465092,0.711809531023196,0.7134245333047027,0.715276130417861,0.7139026034175675,0.00123486724374317
5.236793947219849,0.7414565650970417,1.8177006721496582,0.27859294978262816,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.6234585529734211,0.623499392007884,0.6346944361500946,0.6367101436857181,0.6119644643885873,0.626065397841141,0.008944129544757769,5,0.6484138870246796,0.6468395670045799,0.6440036476426736,0.6426517673498631,0.6512162009866745,0.6466250140016941,0.0030653987720672617
3.411744403839111,0.11633814912598778,1.4406820774078368,0.06916632416344928,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.6157052535654811,0.6119167838986965,0.6305655129184541,0.6201630837657524,0.6027498595731022,0.6162200987442973,0.009182254257590929,20,0.6218003287864327,0.6219402069570966,0.619482152542882,0.6178140665529024,0.6250038314550899,0.6212081172588807,0.0024410100562893035
13.230504179000855,0.3935950259944361,1.2424120426177978,0.12580037992407603,100.0,scale,rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.592062627968408,0.5803189210782231,0.5794294276509049,0.588029155181443,0.5725840326746565,0.5824848329107271,0.006848739859141963,32,0.8211747013926511,0.8227190739585064,0.8275202891549117,0.8242359082181817,0.822737646635822,0.8236775238720145,0.0021514996591451125
11.480961132049561,0.12975177061217913,1.1278057098388672,0.05204544662179763,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.586368449684086,0.5597274362940535,0.5748915631918308,0.5646736927652332,0.5696237421732941,0.5710569768216995,0.009168470093926177,33,0.9197966430229904,0.9195042161934,0.9193919587695404,0.9182623266251819,0.9192931658471137,0.9192496620916453,0.0005217198816590199
12.63446922302246,0.41063132622965853,1.2390123844146728,0.06710632393863487,100.0,0.05,rbf,"{'C': 100, 'gamma': 0.05, 'kernel': 'rbf'}",0.5892806220898309,0.5879591587682544,0.5879158741971939,0.5950181500887117,0.5811282553268033,0.5882604120941589,0.004422329054270863,29,0.7927305933726294,0.7957565903187789,0.7946365281648136,0.7957208938347564,0.7965315707033339,0.7950752352788624,0.0013184720042663234
5.5759443759918215,0.14649239314315443,1.3314389705657959,0.04507545582577808,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.6238679691631182,0.6199282510410735,0.6390940917472024,0.6259620769463319,0.6061589698812183,0.6230022717557888,0.010598141070918905,12,0.6649557290299692,0.6675208169715452,0.6625215049552476,0.6644950356494914,0.6689176151088028,0.6656821403430113,0.0022704861024840676
3.691829299926758,0.055981276281665264,1.3660338878631593,0.06593815156178243,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.6221925403370695,0.6138760751525636,0.6376369210974302,0.6291004260612336,0.6056374292057423,0.6216886783708078,0.01120904719929021,14,0.6320884862021219,0.6299461550647646,0.6293523853370508,0.6294969886062948,0.6349439485400845,0.6311655927500633,0.002130103001235899
